date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:49	26944/26944	---M--	200	added ('OK')	image/jpeg	etag:%220fdde5b67a8d21:0%22	https://solidor.glazingvault.com//images/banners/framecolours.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/framecolours.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:50	181/181	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:48%20GMT	http://solidor.glazingvault.com/images/banners/glass.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/glass.2d.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:51	30179/30179	---M--	200	added ('OK')	image/jpeg	etag:%220fdde5b67a8d21:0%22	https://solidor.glazingvault.com//images/banners/glass.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/glass.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:51	181/181	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:49%20GMT	http://solidor.glazingvault.com/images/banners/door1.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/door1.2f.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:52	24064/24064	---M--	200	added ('OK')	image/jpeg	etag:%220fdde5b67a8d21:0%22	https://solidor.glazingvault.com//images/banners/door1.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/door1.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:53	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:50%20GMT	http://solidor.glazingvault.com/images/banners/furniture.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/furniture.31.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:54	31798/31798	---M--	200	added ('OK')	image/jpeg	etag:%220fdde5b67a8d21:0%22	https://solidor.glazingvault.com//images/banners/furniture.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/furniture.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:54	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:52%20GMT	http://solidor.glazingvault.com/images/banners/contempbg.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/contempbg.33.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:55	22986/22986	---M--	200	added ('OK')	image/jpeg	etag:%220fdde5b67a8d21:0%22	https://solidor.glazingvault.com//images/banners/contempbg.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/contempbg.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:56	177/177	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:53%20GMT	http://solidor.glazingvault.com/images/digitalbg.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/digitalbg.35.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:06:17	180/180	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:06:15%20GMT	http://solidor.glazingvault.com/images/hardwareinfo.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/hardwareinfo.37.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:06:18	37032/37032	---M--	200	added ('OK')	image/jpeg	etag:%229b2ce65b67a8d21:0%22	https://solidor.glazingvault.com//images/hardwareinfo.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/hardwareinfo.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:06:18	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:06:17%20GMT	http://solidor.glazingvault.com/images/btn_viewsummary.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/btn_viewsummary.39.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:06:40	180/180	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:06:38%20GMT	http://solidor.glazingvault.com/images/btn_flipview.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/btn_flipview.3b.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:06:41	22411/22411	---M--	200	added ('OK')	image/jpeg	etag:%22d35ee15b67a8d21:0%22	https://solidor.glazingvault.com//images/btn_flipview.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/btn_flipview.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:06:41	179/179	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:06:39%20GMT	http://solidor.glazingvault.com/images/restart_btn.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/restart_btn.3d.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
